la_code,la_name,date_code,measurement,units,age,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity,A 5 minute walk or less,Within a 6-10 minute walk,An 11 minute walk or more,Don't Know
S12000014,Falkirk,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,57,17,25,0
S12000029,South Lanarkshire,2019,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,64,17,17,2
S12000013,Na h-Eileanan Siar,2014,Percent,Percent Of Adults,All,Female,All,All,All,All,All,73,16,11,0
S12000018,Inverclyde,2013,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,40,21,37,2
S12000038,Renfrewshire,2015,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,58,26,15,1
S12000013,Na h-Eileanan Siar,2014,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,71,12,16,1
S12000013,Na h-Eileanan Siar,2014,Percent,Percent Of Adults,All,All,All,All,All,All,All,76,13,10,0
S12000011,East Renfrewshire,2016,Percent,Percent Of Adults,All,All,All,All,All,All,All,65,24,10,0
S12000013,Na h-Eileanan Siar,2013,Percent,Percent Of Adults,All,Male,All,All,All,All,All,78,9,12,1
S12000013,Na h-Eileanan Siar,2013,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,76,10,13,1
S12000033,Aberdeen City,2019,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,52,21,26,1
S12000008,East Ayrshire,2017,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,63,24,10,3
S12000018,Inverclyde,2015,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,51,28,18,3
S12000008,East Ayrshire,2017,Percent,Percent Of Adults,All,Female,All,All,All,All,All,68,19,11,2
S12000008,East Ayrshire,2013,Percent,Percent Of Adults,All,All,All,All,All,All,All,68,21,10,1
S12000008,East Ayrshire,2013,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,63,25,9,2
S12000008,East Ayrshire,2015,Percent,Percent Of Adults,All,All,All,All,All,All,All,74,17,9,0
S12000018,Inverclyde,2013,Percent,Percent Of Adults,All,Female,All,All,All,All,All,47,21,30,2
S12000011,East Renfrewshire,2015,Percent,Percent Of Adults,All,All,All,All,All,All,All,65,26,10,0
S12000018,Inverclyde,2014,Percent,Percent Of Adults,All,Male,All,All,All,All,All,53,23,23,0
S12000008,East Ayrshire,2017,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,78,14,7,2
S12000018,Inverclyde,2015,Percent,Percent Of Adults,All,Female,All,All,All,All,All,60,25,14,1
S12000018,Inverclyde,2015,Percent,Percent Of Adults,All,All,All,All,All,All,All,60,24,14,1
S12000018,Inverclyde,2015,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,62,25,11,1
S12000018,Inverclyde,2015,Percent,Percent Of Adults,All,Male,All,All,All,All,All,61,23,15,2
S12000011,East Renfrewshire,2015,Percent,Percent Of Adults,All,Female,All,All,All,All,All,62,28,9,0
S12000005,Clackmannanshire,2018,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,55,22,20,3
S12000008,East Ayrshire,2018,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,77,16,7,1
S12000029,South Lanarkshire,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,67,19,12,2
S12000049,Glasgow City,2019,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,55,28,14,3
S12000006,Dumfries and Galloway,2018,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,83,8,8,1
S12000018,Inverclyde,2013,Percent,Percent Of Adults,All,Male,All,All,All,All,All,69,11,19,2
S12000014,Falkirk,2014,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,53,29,17,1
S12000013,Na h-Eileanan Siar,2014,Percent,Percent Of Adults,All,Male,All,All,All,All,All,80,10,9,1
S12000040,West Lothian,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,53,26,21,1
S12000041,Angus,2015,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,78,15,6,1
S12000014,Falkirk,2015,Percent,Percent Of Adults,All,All,All,All,All,All,All,56,27,16,1
S12000006,Dumfries and Galloway,2018,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,81,13,5,0
S12000014,Falkirk,2013,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,70,18,12,1
S12000014,Falkirk,2013,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,67,22,8,3
S12000014,Falkirk,2013,Percent,Percent Of Adults,All,Male,All,All,All,All,All,69,19,9,3
S12000039,West Dunbartonshire,2016,Percent,Percent Of Adults,All,Male,All,All,All,All,All,36,40,20,4
S12000041,Angus,2014,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,73,17,10,0
S12000039,West Dunbartonshire,2016,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,39,31,26,5
S12000026,Scottish Borders,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,77,17,5,1
S12000049,Glasgow City,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,59,26,13,2
S12000036,City of Edinburgh,2013,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,66,24,9,1
S12000017,Highland,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,76,16,6,1
S12000017,Highland,2015,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,83,10,7,0
S12000021,North Ayrshire,2015,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,74,18,8,NA
S12000047,Fife,2019,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,79,16,5,NA
S12000028,South Ayrshire,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,70,21,9,1
S12000035,Argyll and Bute,2019,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,61,17,15,8
S12000038,Renfrewshire,2019,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,48,34,16,2
S12000010,East Lothian,2015,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,85,10,4,1
S12000010,East Lothian,2016,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,84,11,5,1
S12000050,North Lanarkshire,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,60,26,13,1
S12000027,Shetland Islands,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,83,9,8,0
S12000033,Aberdeen City,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,58,24,17,1
S12000036,City of Edinburgh,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,72,21,6,0
S12000019,Midlothian,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,79,18,3,0
S12000040,West Lothian,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,53,21,25,2
S12000018,Inverclyde,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,61,19,20,NA
S12000036,City of Edinburgh,2016,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,67,24,9,1
S12000047,Fife,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,78,18,4,NA
S12000050,North Lanarkshire,2018,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,64,19,13,4
S12000048,Perth and Kinross,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,76,12,12,NA
S12000010,East Lothian,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,83,11,6,1
S12000006,Dumfries and Galloway,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,83,10,7,0
S12000020,Moray,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,67,16,17,0
S12000045,East Dunbartonshire,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,65,23,8,3
S12000023,Orkney Islands,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,86,11,3,NA
S12000034,Aberdeenshire,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,80,8,12,NA
S12000020,Moray,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,73,13,14,0
S12000027,Shetland Islands,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,91,6,3,0
S12000027,Shetland Islands,2019,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,82,9,8,2
S12000036,City of Edinburgh,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,66,23,11,0
S12000028,South Ayrshire,2019,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,76,17,7,0
S12000036,City of Edinburgh,2019,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,69,21,10,0
S12000018,Inverclyde,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,66,17,16,0
S12000021,North Ayrshire,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,74,16,10,NA
S12000023,Orkney Islands,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,62,11,26,NA
S12000038,Renfrewshire,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,59,28,10,3
S12000047,Fife,2015,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,72,21,6,1
S12000021,North Ayrshire,2014,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,68,19,10,2
S12000036,City of Edinburgh,2018,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,71,18,9,1
S12000005,Clackmannanshire,2017,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,77,10,11,1
S12000050,North Lanarkshire,2014,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,64,21,15,NA
S12000008,East Ayrshire,2013,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,60,24,15,1
S12000005,Clackmannanshire,2019,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,69,23,8,NA
S12000008,East Ayrshire,2016,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,74,20,6,1
S12000038,Renfrewshire,2016,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,67,21,8,4
S12000018,Inverclyde,2013,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,54,16,25,5
S12000018,Inverclyde,2017,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,49,22,25,3
S12000038,Renfrewshire,2018,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,54,25,20,2
S12000049,Glasgow City,2017,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,52,21,25,2
S12000049,Glasgow City,2018,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,50,29,16,4
S12000021,North Ayrshire,2017,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,72,17,12,NA
S12000021,North Ayrshire,2013,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,54,28,16,2
S12000039,West Dunbartonshire,2014,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,50,30,14,6
S12000039,West Dunbartonshire,2013,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,48,23,24,5
S12000005,Clackmannanshire,2016,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,53,30,15,2
S12000042,Dundee City,2017,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,42,29,26,3
S12000049,Glasgow City,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,51,32,15,2
S12000005,Clackmannanshire,2014,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,70,29,1,1
S12000040,West Lothian,2013,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,67,24,8,0
S12000013,Na h-Eileanan Siar,2016,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,76,10,13,1
S12000036,City of Edinburgh,2014,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,72,22,5,1
S12000029,South Lanarkshire,2013,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,60,18,21,1
S12000042,Dundee City,2018,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,51,19,23,7
S12000050,North Lanarkshire,2015,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,67,16,15,3
S12000021,North Ayrshire,2016,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,62,17,20,1
S12000018,Inverclyde,2015,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,60,26,11,3
S12000029,South Lanarkshire,2016,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,49,24,27,1
S12000029,South Lanarkshire,2018,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,62,18,20,1
S12000008,East Ayrshire,2017,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,73,22,4,1
S12000017,Highland,2016,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,74,13,8,5
S12000035,Argyll and Bute,2014,Percent,Percent Of Adults,All,Female,All,All,All,All,All,70,16,11,3
S12000014,Falkirk,2013,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,71,19,9,1
S12000010,East Lothian,2016,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,83,7,9,1
S12000010,East Lothian,2017,Percent,Percent Of Adults,All,All,All,All,All,All,All,82,11,6,1
S12000010,East Lothian,2017,Percent,Percent Of Adults,All,Male,All,All,All,All,All,87,7,6,1
S12000005,Clackmannanshire,2016,Percent,Percent Of Adults,All,All,All,All,All,All,All,68,24,7,0
S12000017,Highland,2016,Percent,Percent Of Adults,All,Female,All,All,All,All,All,74,10,12,4
S12000047,Fife,2013,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,78,12,8,2
S12000034,Aberdeenshire,2014,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,68,18,13,2
S12000035,Argyll and Bute,2014,Percent,Percent Of Adults,All,Male,All,All,All,All,All,66,18,14,1
S12000035,Argyll and Bute,2014,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,78,12,8,2
S12000017,Highland,2017,Percent,Percent Of Adults,All,Male,All,All,All,All,All,75,16,8,1
S12000034,Aberdeenshire,2014,Percent,Percent Of Adults,All,Female,All,All,All,All,All,72,14,13,2
S12000035,Argyll and Bute,2014,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,65,18,14,3
S12000034,Aberdeenshire,2014,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,76,14,8,2
S12000030,Stirling,2017,Percent,Percent Of Adults,All,All,All,All,All,All,All,76,12,11,1
S12000017,Highland,2016,Percent,Percent Of Adults,All,Male,All,All,All,All,All,78,11,10,1
S12000017,Highland,2016,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,79,10,11,0
S12000005,Clackmannanshire,2016,Percent,Percent Of Adults,All,Male,All,All,All,All,All,63,28,9,1
S12000006,Dumfries and Galloway,2016,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,62,23,12,4
S12000005,Clackmannanshire,2015,Percent,Percent Of Adults,All,All,All,All,All,All,All,68,23,8,1
S12000005,Clackmannanshire,2016,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,70,23,7,1
S12000005,Clackmannanshire,2016,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,75,21,3,1
S12000005,Clackmannanshire,2015,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,70,23,6,1
S12000035,Argyll and Bute,2015,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,65,23,8,4
S12000042,Dundee City,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,49,27,18,6
S12000020,Moray,2016,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,75,13,12,NA
S12000036,City of Edinburgh,2015,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,64,25,10,1
S12000014,Falkirk,2016,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,65,27,8,1
S12000021,North Ayrshire,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,61,24,13,2
S12000018,Inverclyde,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,62,24,12,2
S12000039,West Dunbartonshire,2018,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,48,31,15,6
S12000029,South Lanarkshire,2017,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,63,20,15,2
S12000038,Renfrewshire,2016,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,71,16,12,2
S12000014,Falkirk,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,56,29,14,0
S12000008,East Ayrshire,2018,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,73,17,9,2
S12000036,City of Edinburgh,2013,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,76,16,6,1
S12000018,Inverclyde,2014,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,49,23,26,2
S12000019,Midlothian,2016,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,73,20,6,0
S12000010,East Lothian,2017,Percent,Percent Of Adults,All,Female,All,All,All,All,All,78,14,6,1
S12000017,Highland,2017,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,76,11,11,2
S12000035,Argyll and Bute,2014,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,64,21,14,1
S12000017,Highland,2017,Percent,Percent Of Adults,All,All,All,All,All,All,All,78,12,10,0
S12000035,Argyll and Bute,2014,Percent,Percent Of Adults,All,All,All,All,All,All,All,68,17,13,2
S12000035,Argyll and Bute,2013,Percent,Percent Of Adults,All,All,All,All,All,All,All,70,19,10,1
S12000034,Aberdeenshire,2014,Percent,Percent Of Adults,All,Male,All,All,All,All,All,70,17,13,0
S12000034,Aberdeenshire,2014,Percent,Percent Of Adults,All,All,All,All,All,All,All,71,15,13,1
S12000038,Renfrewshire,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,65,24,10,1
S12000030,Stirling,2017,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,72,14,13,1
S12000010,East Lothian,2016,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,79,14,6,1
S12000010,East Lothian,2017,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,81,10,8,2
S12000023,Orkney Islands,2015,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,53,22,25,0
S12000030,Stirling,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,73,20,6,1
S12000041,Angus,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,64,17,17,1
S12000034,Aberdeenshire,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,72,14,13,1
S12000020,Moray,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,80,14,7,NA
S12000005,Clackmannanshire,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,74,13,13,0
S12000017,Highland,2017,Percent,Percent Of Adults,All,Female,All,All,All,All,All,81,8,11,0
S12000019,Midlothian,2016,Percent,Percent Of Adults,All,All,All,All,All,All,All,76,17,6,0
S12000034,Aberdeenshire,2016,Percent,Percent Of Adults,All,Female,All,All,All,All,All,69,7,23,1
S12000034,Aberdeenshire,2016,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,66,10,23,1
S12000038,Renfrewshire,2014,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,69,21,7,3
S12000047,Fife,2016,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,59,28,12,1
S12000039,West Dunbartonshire,2015,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,56,22,21,2
S12000029,South Lanarkshire,2015,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,54,32,14,NA
S12000050,North Lanarkshire,2013,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,53,23,22,2
S12000006,Dumfries and Galloway,2016,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,67,18,14,1
S12000045,East Dunbartonshire,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,67,25,7,1
S12000039,West Dunbartonshire,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,46,32,16,6
S12000013,Na h-Eileanan Siar,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,63,24,13,0
S12000021,North Ayrshire,2015,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,59,26,16,NA
S12000035,Argyll and Bute,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,63,19,8,10
S12000038,Renfrewshire,2014,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,72,11,11,5
S12000035,Argyll and Bute,2018,Percent,Percent Of Adults,All,Male,All,All,All,All,All,80,13,3,4
S12000029,South Lanarkshire,2018,Percent,Percent Of Adults,All,Male,All,All,All,All,All,63,21,15,1
S12000038,Renfrewshire,2013,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,57,34,8,2
S12000036,City of Edinburgh,2017,Percent,Percent Of Adults,All,All,All,All,All,All,All,66,22,12,0
S12000036,City of Edinburgh,2017,Percent,Percent Of Adults,All,Female,All,All,All,All,All,66,22,12,0
S12000036,City of Edinburgh,2014,Percent,Percent Of Adults,All,Male,All,All,All,All,All,69,23,7,1
S12000033,Aberdeen City,2015,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,59,26,14,1
S12000041,Angus,2013,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,84,11,4,2
S12000030,Stirling,2018,Percent,Percent Of Adults,All,Female,All,All,All,All,All,80,14,5,1
S12000033,Aberdeen City,2018,Percent,Percent Of Adults,All,Male,All,All,All,All,All,57,26,15,2
S12000005,Clackmannanshire,2018,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,47,24,26,3
S12000005,Clackmannanshire,2015,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,70,21,6,3
S12000008,East Ayrshire,2014,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,72,17,10,NA
S12000039,West Dunbartonshire,2019,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,58,21,19,2
S12000050,North Lanarkshire,2016,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,58,23,18,2
S12000036,City of Edinburgh,2016,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,60,27,13,1
S12000018,Inverclyde,2016,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,62,25,11,2
S12000047,Fife,2014,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,67,22,10,1
S12000042,Dundee City,2014,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,52,26,20,2
S12000029,South Lanarkshire,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,64,22,12,1
S12000026,Scottish Borders,2015,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,85,10,4,2
S12000027,Shetland Islands,2013,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,82,7,11,NA
S12000026,Scottish Borders,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,82,13,4,1
S12000036,City of Edinburgh,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,67,23,8,2
S12000038,Renfrewshire,2015,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,53,30,16,1
S12000050,North Lanarkshire,2017,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,57,26,17,1
S12000008,East Ayrshire,2015,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,73,17,10,NA
S12000038,Renfrewshire,2019,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,47,39,13,1
S12000049,Glasgow City,2016,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,46,30,22,2
S12000042,Dundee City,2019,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,46,37,14,3
S12000036,City of Edinburgh,2015,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,70,19,8,3
S12000049,Glasgow City,2014,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,57,21,20,2
S12000040,West Lothian,2017,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,51,19,27,3
S12000038,Renfrewshire,2017,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,58,27,13,2
S12000049,Glasgow City,2015,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,53,25,20,2
S12000042,Dundee City,2015,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,59,23,15,3
S12000021,North Ayrshire,2019,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,62,28,8,2
S12000042,Dundee City,2016,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,46,25,26,3
S12000042,Dundee City,2013,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,74,15,10,1
S12000039,West Dunbartonshire,2016,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,44,30,21,5
S12000005,Clackmannanshire,2013,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,62,25,12,1
S12000008,East Ayrshire,2018,Percent,Percent Of Adults,All,Male,All,All,All,All,All,68,20,11,1
S12000011,East Renfrewshire,2018,Percent,Percent Of Adults,All,Male,All,All,All,All,All,59,33,8,1
S12000011,East Renfrewshire,2018,Percent,Percent Of Adults,All,Female,All,All,All,All,All,50,28,21,0
S12000029,South Lanarkshire,2019,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,63,20,16,1
S12000040,West Lothian,2018,Percent,Percent Of Adults,All,All,All,All,All,All,All,55,19,24,1
S12000035,Argyll and Bute,2016,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,66,22,8,4
S12000019,Midlothian,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,78,18,4,0
S12000036,City of Edinburgh,2017,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,65,22,13,0
S12000018,Inverclyde,2019,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,54,25,21,0
S12000047,Fife,2019,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,72,22,6,NA
S12000036,City of Edinburgh,2019,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,73,21,5,NA
S12000034,Aberdeenshire,2013,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,67,11,20,1
S12000029,South Lanarkshire,2014,Percent,Percent Of Adults,All,All,All,20% most deprived,All,All,All,62,19,16,2
S12000010,East Lothian,2018,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,86,8,6,NA
S12000018,Inverclyde,2018,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,45,28,23,4
S12000006,Dumfries and Galloway,2018,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,82,9,8,1
S12000041,Angus,2017,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,59,18,17,6
S12000018,Inverclyde,2018,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,62,26,9,3
S12000047,Fife,2017,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,69,25,6,1
S12000045,East Dunbartonshire,2017,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,54,17,24,5
S12000049,Glasgow City,2017,Percent,Percent Of Adults,16-34 years,All,All,All,All,All,All,61,27,11,1
S12000019,Midlothian,2018,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,81,19,NA,0
S12000017,Highland,2018,Percent,Percent Of Adults,16-34 years,All,All,All,All,All,All,66,30,2,2
