indicator,sex,la_name,la_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
Alcohol-specific deaths,males,Highland,S12000017,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,38.8,31.45,22.27,43.12,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Inverclyde,S12000018,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,18.6,47.14,28.01,74.21,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Midlothian,S12000019,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,8,18.88,8.08,37.28,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Moray,S12000020,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,11.6,24.09,12.23,42.53,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,North Ayrshire,S12000021,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,18.4,27.6,16.24,43.7,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Orkney Islands,S12000023,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,4,32.47,8.55,83.52,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Scottish Borders,S12000026,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,10.8,16.98,8.29,30.72,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Shetland Islands,S12000027,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,2,15.55,1.73,56.18,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,South Ayrshire,S12000028,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,12,20.48,10.5,35.88,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,South Lanarkshire,S12000029,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,50,32.2,23.84,42.52,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Stirling,S12000030,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,10.6,24.38,11.9,44.21,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Aberdeen City,S12000033,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,25.2,25.99,16.74,38.45,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Aberdeenshire,S12000034,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,16,11.84,6.74,19.26,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Argyll and Bute,S12000035,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,14.8,31.1,17.12,51.75,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,City of Edinburgh,S12000036,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,54.4,26.47,19.79,34.64,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Renfrewshire,S12000038,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,26.8,32.21,21.1,47.04,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,West Dunbartonshire,S12000039,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,16.4,38.89,22.18,63.1,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,West Lothian,S12000040,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,20.8,25.04,15.34,38.51,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Angus,S12000041,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,12,19.73,10.1,34.58,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Dundee City,S12000042,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,25.6,40.89,26.53,60.18,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,East Dunbartonshire,S12000045,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,10.2,18.84,9.03,34.55,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Fife,S12000047,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,39.2,21.65,15.37,29.62,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Perth and Kinross,S12000048,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,14,17.8,9.69,29.93,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Glasgow City,S12000049,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,131,53.84,44.84,64.09,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,North Lanarkshire,S12000050,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,65.8,41.9,32.29,53.45,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Clackmannanshire,S12000005,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,5.4,20.35,6.85,46.24,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Dumfries and Galloway,S12000006,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,14,16.61,8.98,28.02,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,East Ayrshire,S12000008,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,15.6,25.36,14.31,41.52,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,East Lothian,S12000010,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,12,24.19,12.31,42.52,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,East Renfrewshire,S12000011,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,7,16.26,6.39,33.73,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Na h-Eileanan Siar,S12000013,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,8.2,51.45,22.2,100.96,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Falkirk,S12000014,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,19.8,25.66,15.57,39.8,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Highland,S12000017,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,38.6,30.96,21.88,42.51,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Inverclyde,S12000018,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,19.2,48.56,29.1,75.95,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Midlothian,S12000019,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,9.2,21.78,9.99,41.16,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Moray,S12000020,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,9.6,19.82,9.28,36.97,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,North Ayrshire,S12000021,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,18,26.72,15.69,42.42,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Orkney Islands,S12000023,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,3.4,27.43,6.14,75.93,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Scottish Borders,S12000026,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,11,17.16,8.44,30.87,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Shetland Islands,S12000027,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,2.6,21.02,3.46,66.16,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,South Ayrshire,S12000028,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,12.6,21.33,11.1,36.95,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,South Lanarkshire,S12000029,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,51.8,33.13,24.67,43.54,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Stirling,S12000030,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,10.8,24.72,12.17,44.57,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Aberdeen City,S12000033,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,26.6,26.95,17.6,39.46,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Aberdeenshire,S12000034,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,17.6,13.03,7.64,20.73,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Argyll and Bute,S12000035,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,15.6,31.52,17.72,51.69,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,City of Edinburgh,S12000036,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,56.8,27.32,20.58,35.54,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Renfrewshire,S12000038,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,28.6,34.03,22.62,49.12,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,West Dunbartonshire,S12000039,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,18.6,43.79,25.99,68.99,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,West Lothian,S12000040,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,21.2,25.41,15.67,38.9,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Angus,S12000041,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,12.4,20.14,10.44,35.01,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Dundee City,S12000042,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,26.2,41.75,27.24,61.19,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,East Dunbartonshire,S12000045,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,10,18.53,8.79,34.22,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Fife,S12000047,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,40.4,21.97,15.69,29.9,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Perth and Kinross,S12000048,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,15.2,19.12,10.7,31.49,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Glasgow City,S12000049,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,124,50.93,42.19,60.92,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,North Lanarkshire,S12000050,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,68,42.92,33.23,54.53,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Clackmannanshire,S12000005,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,2,7.74,0.84,28.03,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Dumfries and Galloway,S12000006,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,3,4.51,0.83,13.38,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,East Ayrshire,S12000008,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,5.2,8.33,2.72,19.21,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,East Lothian,S12000010,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,2.4,4.85,0.7,15.96,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,East Renfrewshire,S12000011,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,1,2.34,0,13.16,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Na h-Eileanan Siar,S12000013,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,0.2,1.35,0,27.62,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Falkirk,S12000014,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,3.8,4.7,1.2,12.32,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Highland,S12000017,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,4.8,4,1.23,9.55,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Inverclyde,S12000018,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,5.8,15.58,5.49,34.5,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Midlothian,S12000019,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,1.8,4.09,0.36,15.73,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Moray,S12000020,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,2.2,4.88,0.61,16.82,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,North Ayrshire,S12000021,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,3.6,5.45,1.28,14.71,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Orkney Islands,S12000023,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,0.2,1.6,0,32.7,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Scottish Borders,S12000026,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,2.4,4.37,0.55,14.58,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Shetland Islands,S12000027,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,0.4,3.42,0,38.29,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,South Ayrshire,S12000028,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,4.2,8.18,2.23,20.63,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,South Lanarkshire,S12000029,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,9.6,6.06,2.83,11.31,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Stirling,S12000030,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,3.4,6.91,1.56,19.09,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Aberdeen City,S12000033,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,10.6,9.65,4.67,17.56,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Aberdeenshire,S12000034,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,5.2,3.83,1.26,8.81,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Argyll and Bute,S12000035,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,2.4,4.95,0.65,16.43,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,City of Edinburgh,S12000036,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,19.6,7.94,4.77,12.38,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Renfrewshire,S12000038,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,5.6,6.18,2.13,13.86,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,West Dunbartonshire,S12000039,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,3.6,7.52,1.8,20.26,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,West Lothian,S12000040,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,6.4,6.9,2.61,14.7,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Angus,S12000041,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,3.4,6.19,1.38,17.14,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Dundee City,S12000042,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,10.2,13.61,6.41,25.16,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,East Dunbartonshire,S12000045,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,1.2,2.38,0.02,11.92,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Fife,S12000047,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,12.8,3.55,1.87,6.12,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Perth and Kinross,S12000048,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,2,1.32,0.14,4.8,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Glasgow City,S12000049,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,41.8,13.64,9.78,18.5,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,North Lanarkshire,S12000050,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,10.2,5.71,2.75,10.45,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Clackmannanshire,S12000005,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,1.8,7.04,0.61,27.12,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Dumfries and Galloway,S12000006,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,3.6,5.56,1.27,15.1,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,East Ayrshire,S12000008,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,6,9.82,3.54,21.45,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,East Lothian,S12000010,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,2.4,4.76,0.69,15.65,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,East Renfrewshire,S12000011,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,1.2,2.77,0.06,13.75,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Na h-Eileanan Siar,S12000013,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,0,0,0,0,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Falkirk,S12000014,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,4.4,5.44,1.58,13.38,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Highland,S12000017,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,4.8,4.04,1.24,9.64,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Inverclyde,S12000018,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,6.6,17.62,6.72,37.23,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Midlothian,S12000019,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,2.4,5.47,0.81,17.91,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Moray,S12000020,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,2.2,4.9,0.61,16.86,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,North Ayrshire,S12000021,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,4.6,7.06,2.07,17.15,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Orkney Islands,S12000023,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,0.4,3.65,0,41.06,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Scottish Borders,S12000026,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,2.8,5.14,0.86,15.76,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Shetland Islands,S12000027,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,0.2,1.82,0,37.06,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,South Ayrshire,S12000028,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,4.6,9.15,2.7,22.2,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,South Lanarkshire,S12000029,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,12,7.6,3.91,13.31,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Stirling,S12000030,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,3.8,7.9,1.99,20.79,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Aberdeen City,S12000033,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,13,11.95,6.3,20.53,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Aberdeenshire,S12000034,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,5.8,4.31,1.53,9.52,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Argyll and Bute,S12000035,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,2.6,5.7,0.82,18.25,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,City of Edinburgh,S12000036,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,21.8,8.75,5.42,13.35,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Renfrewshire,S12000038,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,7,8.04,3.18,16.63,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,West Dunbartonshire,S12000039,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,4.2,8.93,2.46,22.49,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,West Lothian,S12000040,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,5.8,6.33,2.25,13.98,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Angus,S12000041,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,4,7.28,1.91,18.74,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Dundee City,S12000042,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,11,15.67,7.67,28.26,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,East Dunbartonshire,S12000045,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,1.8,3.5,0.27,13.58,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Fife,S12000047,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,15.4,4.28,2.41,7.03,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Perth and Kinross,S12000048,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,2.6,1.72,0.27,5.44,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Glasgow City,S12000049,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,43.4,14.28,10.32,19.26,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,North Lanarkshire,S12000050,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,12.2,6.92,3.59,12.04,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Clackmannanshire,S12000005,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,2,7.9,0.83,28.71,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Dumfries and Galloway,S12000006,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,4.4,6.99,1.96,17.34,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,East Ayrshire,S12000008,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,6.6,11.02,4.22,23.27,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,East Lothian,S12000010,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,3.4,6.6,1.48,18.24,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,East Renfrewshire,S12000011,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,1.6,3.49,0.21,14.48,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Na h-Eileanan Siar,S12000013,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,0,0,0,0,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Falkirk,S12000014,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,7.6,9.41,3.94,18.88,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Highland,S12000017,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,5.6,4.75,1.62,10.67,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Inverclyde,S12000018,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,7.8,20.69,8.66,41.32,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Midlothian,S12000019,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,3.2,7.22,1.55,20.49,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Moray,S12000020,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,2.4,5.3,0.77,17.42,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,North Ayrshire,S12000021,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,7,10.7,4.21,22.19,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Orkney Islands,S12000023,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,0.4,3.62,0,40.73,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Scottish Borders,S12000026,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,4,7.7,1.98,19.91,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Shetland Islands,S12000027,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,0.2,1.88,0,38.32,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,South Ayrshire,S12000028,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,4.8,10.02,3.08,23.88,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,South Lanarkshire,S12000029,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,13,8.09,4.28,13.86,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Stirling,S12000030,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,3.6,7.64,1.81,20.62,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
