FeatureCode,DateCode,Measurement,Units,Value,Scottish Health Survey Indicator,Sex
S08000017,2016-2019,Mean,Portions of fruit & vegetables,3.4,Fruit & vegetable consumption (mean daily portions),Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,20.3,Smoking status: Current smoker,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,17.4,Fruit & vegetable consumption: 5 portions or more,Female
S12000006,2016-2019,Percent,Percent Of Adults,15,Smoking status: Current smoker,Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,69.4,Alcohol consumption: Moderate drinker,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,29.5,Fruit & vegetable consumption: 5 portions or more,Female
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,4.4,Summary activity levels: Low activity,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,58.8,Overweight: Overweight (including obese),Female
S08000019,2015-2018,Percent,Percent Of Adults,86,Any cardiovascular condition: No cardiovascular condition,Female
S12000049,2015-2018,Percent,Percent Of Adults,62,Overweight: Overweight (including obese),Female
S08000019,2016-2019,Percent,Percent Of Adults,17,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,67,Overweight: Overweight (including obese),Female
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,13.3,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000006,2015-2018,95% Upper Confidence Limit,Percent Of Adults,63.8,General health questionnaire (GHQ-12): Score 0,Female
S12000006,2015-2018,Percent,Percent Of Adults,57,General health questionnaire (GHQ-12): Score 0,Female
S08000017,2016-2019,Percent,Percent Of Adults,70,Fruit & vegetable consumption: Less than 5 portions,Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,49.4,General health questionnaire (GHQ-12): Score 0,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,45.2,Long-term illness: No long-term illness,Female
S12000049,2016-2019,Percent,Percent Of Adults,49,Long-term illness: No long-term illness,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,52.5,Long-term illness: No long-term illness,Female
S12000006,2016-2019,Percent,Percent Of Adults,10,Alcohol consumption: Hazardous/Harmful drinker,Female
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,22.9,Smoking status: Used to smoke regularly,Female
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,63.7,Fruit & vegetable consumption: Less than 5 portions,Female
S12000006,2015-2018,95% Upper Confidence Limit,Percent Of Adults,12.8,E-cigarette use: Currently using,Female
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,72.2,E-cigarette use: Never used,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,4,E-cigarette use: Currently using,Female
S12000049,2015-2018,95% Upper Confidence Limit,Percent Of Adults,13.8,Long-term illness: Non-limiting long-term illness,Female
S12000049,2015-2018,95% Lower Confidence Limit,Percent Of Adults,9.4,Long-term illness: Non-limiting long-term illness,Female
S08000019,2016-2019,Percent,Percent Of Adults,27,Smoking status: Used to smoke regularly,Female
S12000049,2015-2018,Percent,Percent Of Adults,12,Long-term illness: Non-limiting long-term illness,Female
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,67.2,Fruit & vegetable consumption: Less than 5 portions,Female
S12000006,2015-2018,95% Upper Confidence Limit,Percent Of Adults,64.1,Smoking status: Never smoked/Used to smoke occasionally,Female
S08000019,2015-2018,95% Upper Confidence Limit,Units of alcohol,12.3,Alcohol consumption (mean weekly units),Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,6.3,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,83.3,Alcohol consumption: Moderate drinker,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,14.4,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,16.1,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,11.1,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000049,2016-2019,Percent,Percent Of Adults,14,Alcohol consumption: Hazardous/Harmful drinker,Female
S08000019,2016-2019,Percent,Percent Of Adults,67,Self-assessed general health: Very good/Good,Female
S12000008,2015-2018,Percent,Percent Of Adults,28,Overweight: Not overweight or obese,Female
S12000008,2015-2018,Percent,Percent Of Adults,47,Long-term illness: Limiting long-term illness,Female
S12000008,2015-2018,95% Upper Confidence Limit,Percent Of Adults,34,Overweight: Not overweight or obese,Female
S12000008,2015-2018,95% Lower Confidence Limit,Percent Of Adults,15.4,Smoking status: Current smoker,Female
S12000008,2015-2018,95% Lower Confidence Limit,Percent Of Adults,41.7,Long-term illness: Limiting long-term illness,Female
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,79.6,Fruit & vegetable consumption: Less than 5 portions,Female
S12000008,2015-2018,95% Upper Confidence Limit,Percent Of Adults,25.1,Alcohol consumption: Non-drinker,Female
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,20.5,Summary activity levels: Very low activity,Female
S08000032,2016-2019,Percent,Percent Of Adults,22,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,19.1,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,17.4,Smoking status: Current smoker,Female
S12000008,2015-2018,95% Upper Confidence Limit,Percent Of Adults,53.1,Long-term illness: Limiting long-term illness,Female
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,25.2,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000008,2015-2018,95% Upper Confidence Limit,Percent Of Adults,7.2,Summary activity levels: Low activity,Female
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,73.2,Fruit & vegetable consumption: Less than 5 portions,Female
S08000019,2015-2018,Percent,Percent Of Adults,25,Smoking status: Used to smoke regularly,Female
S08000032,2015-2018,Percent,Percent Of Adults,14,Summary activity levels: Some activity,Female
S12000008,2015-2018,95% Upper Confidence Limit,Percent Of Adults,58,Smoking status: Never smoked/Used to smoke occasionally,Female
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,12.2,Any cardiovascular condition: Has a cardiovascular condition,Female
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,85.6,Any cardiovascular condition: No cardiovascular condition,Female
S08000032,2015-2018,Percent,Percent Of Adults,20,Smoking status: Current smoker,Female
S08000032,2015-2018,Percent,Percent Of Adults,23,Summary activity levels: Very low activity,Female
S08000032,2015-2018,Percent,Percent Of Adults,8,E-cigarette use: Currently using,Female
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,23.1,Smoking status: Current smoker,Female
S12000008,2015-2018,Percent,Percent Of Adults,20,Alcohol consumption: Non-drinker,Female
S08000019,2015-2018,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,Female
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,12.9,Smoking status: Current smoker,Female
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,18.2,Fruit & vegetable consumption: 5 portions or more,Female
S12000008,2015-2018,95% Lower Confidence Limit,Percent Of Adults,66,Overweight: Overweight (including obese),Female
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,19.3,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000008,2015-2018,Percent,Percent Of Adults,20,Smoking status: Current smoker,Female
S12000008,2015-2018,95% Lower Confidence Limit,Percent Of Adults,23,Overweight: Not overweight or obese,Female
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,88.4,"Provide any regular help or care for any sick, disabled or frail person: No",Female
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,64.6,General health questionnaire (GHQ-12): Score 0,Female
S12000008,2015-2018,95% Lower Confidence Limit,WEMWBS Score,47.7,Mental wellbeing,Female
S12000008,2015-2018,95% Lower Confidence Limit,Percent Of Adults,15.3,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000008,2015-2018,95% Upper Confidence Limit,WEMWBS Score,49.6,Mental wellbeing,Female
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,72.9,Obesity: Not obese,Female
S12000008,2015-2018,95% Lower Confidence Limit,Percent Of Adults,11.2,Fruit & vegetable consumption: None,Female
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,15.4,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000008,2015-2018,95% Upper Confidence Limit,Percent Of Adults,22.7,Fruit & vegetable consumption: 5 portions or more,Female
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,23.2,General health questionnaire (GHQ-12): Score 4+,Female
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,17.2,Alcohol consumption: Hazardous/Harmful drinker,Female
S08000032,2016-2019,Percent,Percent Of Adults,13,Any cardiovascular condition: Has a cardiovascular condition,Female
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,11,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000008,2015-2018,95% Lower Confidence Limit,Percent Of Adults,13.6,Fruit & vegetable consumption: 5 portions or more,Female
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,20.6,Smoking status: Used to smoke regularly,Female
S12000008,2015-2018,95% Upper Confidence Limit,Percent Of Adults,24.5,Smoking status: Current smoker,Female
S08000019,2016-2019,Percent,Percent Of Adults,22,Fruit & vegetable consumption: 5 portions or more,Female
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,63.7,Fruit & vegetable consumption: Less than 5 portions,Female
S12000008,2015-2018,95% Upper Confidence Limit,Percent Of Adults,77,Overweight: Overweight (including obese),Female
S12000008,2015-2018,Percent,Percent Of Adults,72,Overweight: Overweight (including obese),Female
S12000049,2015-2018,95% Upper Confidence Limit,WEMWBS Score,49.2,Mental wellbeing,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,16.6,Self-assessed general health: Fair,Female
S12000049,2015-2018,Percent,Percent Of Adults,31,General health questionnaire (GHQ-12): Score 1-3,Female
S12000006,2016-2019,Percent,Percent Of Adults,57,General health questionnaire (GHQ-12): Score 0,Female
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,93.6,Any cardiovascular condition: No cardiovascular condition,Female
S12000006,2015-2018,95% Upper Confidence Limit,Percent Of Adults,79.6,Fruit & vegetable consumption: Less than 5 portions,Female
S12000049,2015-2018,Mean,WEMWBS Score,48.5,Mental wellbeing,Female
S08000017,2015-2018,Percent,Percent Of Adults,8,Fruit & vegetable consumption: None,Female
S12000006,2015-2018,Percent,Percent Of Adults,73,Fruit & vegetable consumption: Less than 5 portions,Female
S12000049,2015-2018,95% Upper Confidence Limit,Percent Of Adults,85.9,Any cardiovascular condition: No cardiovascular condition,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,22.3,Self-assessed general health: Fair,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,63.5,Long-term illness: No long-term illness,Female
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,65.1,Summary activity levels: Meets recommendations,Female
S12000049,2015-2018,95% Upper Confidence Limit,Percent Of Adults,23.1,Self-assessed general health: Fair,Female
S12000049,2015-2018,95% Lower Confidence Limit,Percent Of Adults,27.5,General health questionnaire (GHQ-12): Score 1-3,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,63.7,Fruit & vegetable consumption: Less than 5 portions,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,93.6,Any cardiovascular condition: No cardiovascular condition,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,50.1,General health questionnaire (GHQ-12): Score 0,Female
S12000006,2016-2019,Percent,Percent Of Adults,57,Long-term illness: No long-term illness,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,85.6,Any cardiovascular condition: No cardiovascular condition,Female
S12000006,2016-2019,Percent,Percent Of Adults,7,Fruit & vegetable consumption: None,Female
S12000049,2015-2018,Percent,Percent Of Adults,20,Self-assessed general health: Fair,Female
S12000049,2016-2019,Percent,Percent Of Adults,19,Self-assessed general health: Fair,Female
S12000049,2015-2018,95% Lower Confidence Limit,Percent Of Adults,17.4,Self-assessed general health: Fair,Female
S12000006,2015-2018,Percent,Percent Of Adults,8,Fruit & vegetable consumption: None,Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,67.2,Fruit & vegetable consumption: Less than 5 portions,Female
S08000032,2015-2018,Percent,Percent Of Adults,14,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000008,2015-2018,Percent,Percent Of Adults,18,Fruit & vegetable consumption: 5 portions or more,Female
S12000008,2015-2018,95% Lower Confidence Limit,Percent Of Adults,15.5,Alcohol consumption: Non-drinker,Female
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,37.3,Overweight: Not overweight or obese,Female
S12000006,2016-2019,Percent,Percent Of Adults,90,Any cardiovascular condition: No cardiovascular condition,Female
S08000017,2015-2018,Percent,Percent Of Adults,57,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,53,Long-term illness: No long-term illness,Female
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,8.6,Fruit & vegetable consumption: None,Female
S12000008,2015-2018,95% Lower Confidence Limit,Percent Of Adults,46.6,Smoking status: Never smoked/Used to smoke occasionally,Female
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,16.7,Any cardiovascular condition: Has a cardiovascular condition,Female
S08000032,2016-2019,Percent,Percent Of Adults,11,Fruit & vegetable consumption: None,Female
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,14.4,Any cardiovascular condition: Has a cardiovascular condition,Female
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,13.2,Fruit & vegetable consumption: None,Female
S12000006,2015-2018,Percent,Percent Of Adults,60,Long-term illness: No long-term illness,Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,4,E-cigarette use: Currently using,Female
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,31.3,Life satisfaction: Mode (8),Female
S12000049,2016-2019,95% Lower Confidence Limit,WEMWBS Score,47.6,Mental wellbeing,Female
S12000049,2016-2019,Percent,Percent Of Adults,31,General health questionnaire (GHQ-12): Score 1-3,Female
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,4.2,Fruit & vegetable consumption: None,Female
S12000049,2016-2019,Mean,WEMWBS Score,48.4,Mental wellbeing,Female
S08000017,2016-2019,Percent,Percent Of Adults,12,Summary activity levels: Some activity,Female
S12000049,2016-2019,95% Upper Confidence Limit,WEMWBS Score,49.1,Mental wellbeing,Female
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,11.3,Fruit & vegetable consumption: None,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,27.8,General health questionnaire (GHQ-12): Score 1-3,Female
S12000049,2015-2018,95% Upper Confidence Limit,Percent Of Adults,34.6,General health questionnaire (GHQ-12): Score 1-3,Female
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,50.4,Smoking status: Never smoked/Used to smoke occasionally,Female
S08000019,2016-2019,Percent,Percent Of Adults,86,Any cardiovascular condition: No cardiovascular condition,Female
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,88.5,E-cigarette use: Never used,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,60.4,Obesity: Not obese,Female
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,5.3,E-cigarette use: Currently using,Female
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,78.1,Self-assessed general health: Very good/Good,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,26.8,General health questionnaire (GHQ-12): Score 4+,Female
S12000006,2015-2018,Percent,Percent Of Adults,10,Self-assessed general health: Bad/Very bad,Female
S12000049,2015-2018,95% Upper Confidence Limit,Percent Of Adults,14.8,Summary activity levels: Some activity,Female
S12000006,2016-2019,Percent,Percent Of Adults,19,Doctor-diagnosed asthma: Yes,Female
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,10.1,E-cigarette use: Currently using,Female
S12000049,2015-2018,95% Upper Confidence Limit,Percent Of Adults,23.8,Smoking status: Used to smoke regularly,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,20.1,General health questionnaire (GHQ-12): Score 4+,Female
S12000049,2016-2019,Percent,Percent Of Adults,23,General health questionnaire (GHQ-12): Score 4+,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,24.3,Doctor-diagnosed asthma: Yes,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,68.1,Fruit & vegetable consumption: Less than 5 portions,Female
S12000049,2016-2019,Percent,Percent Of Adults,65,Fruit & vegetable consumption: Less than 5 portions,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,5.8,Summary activity levels: Low activity,Female
S08000017,2015-2018,95% Lower Confidence Limit,Portions of fruit & vegetables,2.8,Fruit & vegetable consumption (mean daily portions),Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,61.1,Fruit & vegetable consumption: Less than 5 portions,Female
S12000006,2016-2019,Percent,Percent Of Adults,3,Summary activity levels: Low activity,Female
S12000006,2015-2018,95% Upper Confidence Limit,Percent Of Adults,13.6,Self-assessed general health: Bad/Very bad,Female
S12000049,2015-2018,95% Upper Confidence Limit,Percent Of Adults,28.3,General health questionnaire (GHQ-12): Score 4+,Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,5.9,Self-assessed general health: Bad/Very bad,Female
S12000006,2016-2019,Percent,Percent Of Adults,68,Obesity: Not obese,Female
S08000019,2015-2018,Percent,Percent Of Adults,14,Summary activity levels: Some activity,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,75,Obesity: Not obese,Female
S12000049,2015-2018,95% Lower Confidence Limit,Percent Of Adults,21.6,General health questionnaire (GHQ-12): Score 4+,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,7.8,E-cigarette use: Ever previously used,Female
S08000017,2016-2019,Percent,Percent Of Adults,78,Alcohol consumption: Moderate drinker,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,17.4,E-cigarette use: Ever previously used,Female
S08000017,2015-2018,Percent,Percent Of Adults,3,Summary activity levels: Low activity,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,14.4,Summary activity levels: Very low activity,Female
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,4,Summary activity levels: Low activity,Female
S12000006,2016-2019,Percent,Percent Of Adults,20,Summary activity levels: Very low activity,Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,12.9,Smoking status: Current smoker,Female
S12000006,2015-2018,Percent,Percent Of Adults,18,Smoking status: Current smoker,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,13.9,Doctor-diagnosed asthma: Yes,Female
S08000019,2016-2019,Mean,WEMWBS Score,49.6,Mental wellbeing,Female
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,79.9,E-cigarette use: Never used,Female
S12000049,2016-2019,Percent,Percent Of Adults,26,Life satisfaction: Mode (8),Female
S08000017,2016-2019,Percent,Percent Of Adults,14,General health questionnaire (GHQ-12): Score 4+,Female
S12000049,2015-2018,Percent,Percent Of Adults,21,Smoking status: Used to smoke regularly,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,22.5,Life satisfaction: Mode (8),Female
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,29.7,Obesity: Obese,Female
S12000049,2015-2018,Percent,Percent Of Adults,38,Long-term illness: Limiting long-term illness,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,13.1,Doctor-diagnosed asthma: Yes,Female
S12000049,2015-2018,95% Lower Confidence Limit,Percent Of Adults,18.2,Smoking status: Used to smoke regularly,Female
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,8.3,Self-assessed general health: Bad/Very bad,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,48.4,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female
S12000049,2015-2018,95% Lower Confidence Limit,Percent Of Adults,34.3,Long-term illness: Limiting long-term illness,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,19.6,Doctor-diagnosed asthma: Yes,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,24.9,Summary activity levels: Very low activity,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,28.9,Life satisfaction: Mode (8),Female
S12000049,2016-2019,Percent,Percent Of Adults,38,Long-term illness: Limiting long-term illness,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,34.3,Long-term illness: Limiting long-term illness,Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,17,Summary activity levels: Very low activity,Female
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,16.6,Self-assessed general health: Fair,Female
S12000006,2016-2019,Percent,Percent Of Adults,72,Self-assessed general health: Very good/Good,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,41.3,Long-term illness: Limiting long-term illness,Female
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,55.1,Alcohol consumption: Moderate drinker,Female
S08000017,2015-2018,95% Upper Confidence Limit,Portions of fruit & vegetables,3.5,Fruit & vegetable consumption (mean daily portions),Female
S12000006,2015-2018,95% Upper Confidence Limit,Percent Of Adults,27.9,Summary activity levels: Very low activity,Female
S08000017,2015-2018,Mean,Portions of fruit & vegetables,3.2,Fruit & vegetable consumption (mean daily portions),Female
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,13.1,Smoking status: Current smoker,Female
S08000019,2015-2018,Percent,Percent Of Adults,84,E-cigarette use: Never used,Female
S12000006,2016-2019,Percent,Percent Of Adults,43,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S12000006,2015-2018,Percent,Percent Of Adults,69,Overweight: Overweight (including obese),Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,61.3,Overweight: Overweight (including obese),Female
S12000049,2016-2019,Percent,Percent Of Adults,5,Summary activity levels: Low activity,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,3.2,Summary activity levels: Low activity,Female
S12000049,2015-2018,95% Lower Confidence Limit,Percent Of Adults,4,Summary activity levels: Low activity,Female
S12000049,2015-2018,95% Upper Confidence Limit,Percent Of Adults,7.1,Summary activity levels: Low activity,Female
S12000049,2015-2018,Percent,Percent Of Adults,6,Summary activity levels: Low activity,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,22.2,General health questionnaire (GHQ-12): Score 1-3,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,11.6,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,66.2,Self-assessed general health: Very good/Good,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,6.3,Summary activity levels: Low activity,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,21.5,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000006,2016-2019,Percent,Percent Of Adults,17,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,22.8,Summary activity levels: Very low activity,Female
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,40.6,Obesity: Obese,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,78.1,Self-assessed general health: Very good/Good,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,84.8,"Provide any regular help or care for any sick, disabled or frail person: No",Female
S12000049,2016-2019,Percent,Percent Of Adults,26,Summary activity levels: Very low activity,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,29.3,Summary activity levels: Very low activity,Female
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,16.5,Alcohol consumption: Non-drinker,Female
S12000006,2015-2018,Percent,Percent Of Adults,11,Any cardiovascular condition: Has a cardiovascular condition,Female
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,56.3,Alcohol consumption: Moderate drinker,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,1,Summary activity levels: Low activity,Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,5.9,Summary activity levels: Some activity,Female
S08000019,2015-2018,Percent,Percent Of Adults,22,Summary activity levels: Very low activity,Female
S08000019,2016-2019,Percent,Percent Of Adults,61,Alcohol consumption: Moderate drinker,Female
S08000019,2016-2019,Percent,Percent Of Adults,20,Alcohol consumption: Non-drinker,Female
S12000006,2015-2018,Percent,Percent Of Adults,10,Summary activity levels: Some activity,Female
S08000017,2016-2019,Percent,Percent Of Adults,90,Any cardiovascular condition: No cardiovascular condition,Female
S12000006,2015-2018,Percent,Percent Of Adults,67,Obesity: Not obese,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,79.3,"Provide any regular help or care for any sick, disabled or frail person: No",Female
S12000006,2015-2018,Percent,Percent Of Adults,22,Summary activity levels: Very low activity,Female
S12000049,2016-2019,Percent,Percent Of Adults,82,"Provide any regular help or care for any sick, disabled or frail person: No",Female
S12000006,2016-2019,95% Lower Confidence Limit,Portions of fruit & vegetables,3,Fruit & vegetable consumption (mean daily portions),Female
S12000049,2015-2018,95% Upper Confidence Limit,Percent Of Adults,29.3,Summary activity levels: Very low activity,Female
S12000006,2016-2019,95% Upper Confidence Limit,Portions of fruit & vegetables,3.7,Fruit & vegetable consumption (mean daily portions),Female
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,24.3,Doctor-diagnosed asthma: Yes,Female
S12000049,2015-2018,Percent,Percent Of Adults,26,Summary activity levels: Very low activity,Female
S12000049,2015-2018,95% Lower Confidence Limit,Percent Of Adults,23.3,Summary activity levels: Very low activity,Female
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,60.9,Overweight: Overweight (including obese),Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,41.2,General health questionnaire (GHQ-12): Score 0,Female
S12000049,2016-2019,95% Upper Confidence Limit,Portions of fruit & vegetables,3.6,Fruit & vegetable consumption (mean daily portions),Female
S12000049,2016-2019,Mean,Portions of fruit & vegetables,3.4,Fruit & vegetable consumption (mean daily portions),Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,86.9,Doctor-diagnosed asthma: No,Female
S12000006,2015-2018,95% Upper Confidence Limit,Percent Of Adults,81,Alcohol consumption: Moderate drinker,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,49,General health questionnaire (GHQ-12): Score 0,Female
S12000049,2016-2019,95% Lower Confidence Limit,Portions of fruit & vegetables,3.2,Fruit & vegetable consumption (mean daily portions),Female
S12000006,2016-2019,Percent,Percent Of Adults,32,Overweight: Not overweight or obese,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,39.1,Overweight: Not overweight or obese,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,24.5,Overweight: Not overweight or obese,Female
