"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Alcohol-specific deaths, females","Shetland Islands","S12000027","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",0,0,0,0,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","South Ayrshire","S12000028","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",5,7.72,2.41,18.16,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","South Lanarkshire","S12000029","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",20,11.58,7.06,17.91,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Stirling","S12000030","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",4.2,8.62,2.41,21.63,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Aberdeen City","S12000033","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",11.2,10.85,5.44,19.32,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Aberdeenshire","S12000034","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",7.2,5.17,2.1,10.56,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Argyll & Bute","S12000035","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",4.6,8.48,2.52,20.55,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","City of Edinburgh","S12000036","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",26.2,11.82,7.7,17.33,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Renfrewshire","S12000038","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",13.4,14.31,7.67,24.31,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","West Dunbartonshire","S12000039","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",7.8,15.91,6.72,31.68,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","West Lothian","S12000040","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",10.8,11.72,5.76,21.14,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Angus","S12000041","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",7,10.7,4.24,22.12,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Dundee City","S12000042","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",10.6,14.78,7.23,26.77,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Dunbartonshire","S12000045","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",3.2,5.04,1.08,14.28,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Fife","S12000047","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",25,12.98,8.38,19.19,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Perth & Kinross","S12000048","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",7.4,8.99,3.68,18.23,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Glasgow City","S12000049","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",45,16.05,11.66,21.54,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","North Lanarkshire","S12000050","Council area",2015,"2013 to 2017 calendar years; 5-year aggregates",33.6,18.82,12.98,26.37,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Aberdeen City","S37000001","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",11.2,10.85,5.44,19.32,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Aberdeenshire","S37000002","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",7.2,5.17,2.1,10.56,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Angus","S37000003","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",7,10.7,4.24,22.12,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Argyll & Bute","S37000004","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",4.6,8.48,2.52,20.55,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Clackmannanshire & Stirling","S37000005","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",7.4,9.62,3.97,19.46,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Dumfries & Galloway","S37000006","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",7.4,8.81,3.53,18.01,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Dundee City","S37000007","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",10.6,14.78,7.23,26.77,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Ayrshire","S37000008","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",6.2,9.32,3.45,20.09,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Dunbartonshire","S37000009","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",3.2,5.04,1.08,14.28,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Lothian","S37000010","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",4.2,7.37,2.05,18.5,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Renfrewshire","S37000011","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",3.8,7.41,1.89,19.43,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Edinburgh","S37000012","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",26.2,11.82,7.7,17.33,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Falkirk","S37000013","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",8.4,9.95,4.38,19.32,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Highland","S37000016","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",13.4,10.48,5.6,17.83,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Inverclyde","S37000017","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",6.6,15.08,5.77,31.84,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Midlothian","S37000018","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",4.8,10.51,3.27,24.97,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Moray","S37000019","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",4.6,8.89,2.68,21.47,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","North Ayrshire","S37000020","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",10.6,13.92,6.78,25.26,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Orkney Islands","S37000022","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",1.2,9.91,0.25,49,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Renfrewshire","S37000024","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",13.4,14.31,7.67,24.31,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Scottish Borders","S37000025","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",4.6,6.95,2.06,16.87,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Shetland Islands","S37000026","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",0,0,0,0,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","South Ayrshire","S37000027","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",5,7.72,2.41,18.16,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","South Lanarkshire","S37000028","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",20,11.58,7.06,17.91,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","West Dunbartonshire","S37000029","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",7.8,15.91,6.72,31.68,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","West Lothian","S37000030","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",10.8,11.72,5.76,21.14,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Western Isles","S37000031","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",3.4,22.67,5.14,62.61,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Fife","S37000032","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",25,12.98,8.38,19.19,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Perth & Kinross","S37000033","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",7.4,8.99,3.68,18.23,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Glasgow City","S37000034","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",45,16.05,11.66,21.54,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","North Lanarkshire","S37000035","HSC partnership",2015,"2013 to 2017 calendar years; 5-year aggregates",33.6,18.82,12.98,26.37,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Scotland","S00000001","Scotland",2016,"2014 to 2018 calendar years; 5-year aggregates",338.8,12.04,10.79,13.4,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Ayrshire & Arran","S08000015","Health board",2016,"2014 to 2018 calendar years; 5-year aggregates",24.6,11.71,7.51,17.38,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Borders","S08000016","Health board",2016,"2014 to 2018 calendar years; 5-year aggregates",5.6,8.29,2.85,18.61,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Dumfries & Galloway","S08000017","Health board",2016,"2014 to 2018 calendar years; 5-year aggregates",6.8,8,3.06,16.83,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Forth Valley","S08000019","Health board",2016,"2014 to 2018 calendar years; 5-year aggregates",15.2,9.36,5.25,15.4,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Grampian","S08000020","Health board",2016,"2014 to 2018 calendar years; 5-year aggregates",27.6,9.34,6.18,13.55,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Highland","S08000022","Health board",2016,"2014 to 2018 calendar years; 5-year aggregates",19.2,10.53,6.32,16.46,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Lothian","S08000024","Health board",2016,"2014 to 2018 calendar years; 5-year aggregates",46.6,11.03,8.08,14.7,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Orkney","S08000025","Health board",2016,"2014 to 2018 calendar years; 5-year aggregates",1.2,10.01,0.24,49.5,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Shetland","S08000026","Health board",2016,"2014 to 2018 calendar years; 5-year aggregates",0.2,1.62,0,33.15,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Western Isles","S08000028","Health board",2016,"2014 to 2018 calendar years; 5-year aggregates",3.2,21.03,4.47,59.76,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Fife","S08000029","Health board",2016,"2014 to 2018 calendar years; 5-year aggregates",24.2,12.47,7.98,18.55,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Tayside","S08000030","Health board",2016,"2014 to 2018 calendar years; 5-year aggregates",27.6,12.58,8.31,18.26,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Greater Glasgow & Clyde","S08000031","Health board",2016,"2014 to 2018 calendar years; 5-year aggregates",82.2,14.16,11.25,17.59,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Lanarkshire","S08000032","Health board",2016,"2014 to 2018 calendar years; 5-year aggregates",54.6,15.56,11.7,20.29,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Aberdeen City","S11000001","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",13.4,12.92,6.93,21.95,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Aberdeenshire","S11000002","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",8.2,5.83,2.54,11.4,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Angus","S11000003","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",7.4,11.21,4.59,22.73,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Argyll & Bute","S11000004","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",5.8,10.92,3.76,24.33,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Clackmannanshire","S11000005","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",3.4,11.9,2.71,32.82,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Dumfries & Galloway","S11000006","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",6.8,8,3.06,16.83,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Dundee City","S11000007","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",11.2,15.68,7.84,27.96,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Ayrshire","S11000008","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",5.4,8.1,2.73,18.41,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Dunbartonshire","S11000009","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",3.6,5.64,1.37,15.15,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Renfrewshire","S11000011","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",3.8,7.23,1.84,18.97,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Edinburgh, City of","S11000012","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",26.8,11.85,7.76,17.31,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Falkirk","S11000013","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",8,9.43,4.05,18.6,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Fife","S11000014","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",24.2,12.47,7.98,18.55,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Glasgow City","S11000015","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",45.8,16.35,11.91,21.87,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Highland","S11000016","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",13.4,10.29,5.51,17.5,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Inverclyde","S11000017","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",6.8,15.4,5.99,32.19,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Moray","S11000019","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",6,11.8,4.27,25.76,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","North Ayrshire","S11000020","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",13.2,17.03,9.05,29.1,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Orkney Islands","S11000022","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",1.2,10.01,0.24,49.5,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Perth & Kinross","S11000023","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",9,10.87,4.93,20.69,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Renfrewshire","S11000024","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",14.4,15.26,8.4,25.45,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Scottish Borders","S11000025","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",5.6,8.29,2.85,18.61,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Shetland Islands","S11000026","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",0.2,1.62,0,33.15,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","South Ayrshire","S11000027","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",6,9.1,3.23,19.99,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Stirling","S11000029","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",3.8,7.68,1.96,20.14,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","West Dunbartonshire","S11000030","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",7.8,16.04,6.76,31.96,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","West Lothian","S11000031","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",10,10.92,5.2,20.13,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Na h-Eileanan Siar","S11000032","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",3.2,21.03,4.47,59.76,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Mid & East Lothian","S11000051","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",9.8,9.39,4.44,17.4,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Lanarkshire","S11000052","Alcohol & drug partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",54.6,15.56,11.7,20.29,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Clackmannanshire","S12000005","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",3.4,11.9,2.71,32.82,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Dumfries & Galloway","S12000006","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",6.8,8,3.06,16.83,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Ayrshire","S12000008","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",5.4,8.1,2.73,18.41,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Lothian","S12000010","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",3.8,6.66,1.69,17.47,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Renfrewshire","S12000011","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",3.8,7.23,1.84,18.97,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Na h-Eileanan Siar","S12000013","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",3.2,21.03,4.47,59.76,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Falkirk","S12000014","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",8,9.43,4.05,18.6,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Highland","S12000017","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",13.4,10.29,5.51,17.5,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Inverclyde","S12000018","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",6.8,15.4,5.99,32.19,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Midlothian","S12000019","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",6,12.73,4.63,27.73,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Moray","S12000020","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",6,11.8,4.27,25.76,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","North Ayrshire","S12000021","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",13.2,17.03,9.05,29.1,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Orkney Islands","S12000023","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",1.2,10.01,0.24,49.5,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Scottish Borders","S12000026","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",5.6,8.29,2.85,18.61,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Shetland Islands","S12000027","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",0.2,1.62,0,33.15,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","South Ayrshire","S12000028","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",6,9.1,3.23,19.99,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","South Lanarkshire","S12000029","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",21.6,12.5,7.78,19.03,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Stirling","S12000030","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",3.8,7.68,1.96,20.14,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Aberdeen City","S12000033","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",13.4,12.92,6.93,21.95,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Aberdeenshire","S12000034","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",8.2,5.83,2.54,11.4,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Argyll & Bute","S12000035","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",5.8,10.92,3.76,24.33,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","City of Edinburgh","S12000036","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",26.8,11.85,7.76,17.31,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Renfrewshire","S12000038","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",14.4,15.26,8.4,25.45,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","West Dunbartonshire","S12000039","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",7.8,16.04,6.76,31.96,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","West Lothian","S12000040","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",10,10.92,5.2,20.13,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Angus","S12000041","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",7.4,11.21,4.59,22.73,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Dundee City","S12000042","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",11.2,15.68,7.84,27.96,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Dunbartonshire","S12000045","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",3.6,5.64,1.37,15.15,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Fife","S12000047","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",24.2,12.47,7.98,18.55,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Perth & Kinross","S12000048","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",9,10.87,4.93,20.69,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Glasgow City","S12000049","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",45.8,16.35,11.91,21.87,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","North Lanarkshire","S12000050","Council area",2016,"2014 to 2018 calendar years; 5-year aggregates",33,18.5,12.72,26,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Aberdeen City","S37000001","HSC partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",13.4,12.92,6.93,21.95,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Aberdeenshire","S37000002","HSC partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",8.2,5.83,2.54,11.4,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Angus","S37000003","HSC partnership",2016,"2014 to 2018 calendar years; 5-year aggregates",7.4,11.21,4.59,22.73,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
